sex,weight,chord,tl,hl,tu,cl,bdt,bdg
female,49,164,24.7,40.4,6.1,16.8,6.5,4.8
male,49,157,22.6,39.7,4.5,15.5,5.8,5.1
female,56,162,23.9,41.8,5.5,15.2,6.4,5.5
female,43,164,24.9,41.2,5.9,15.1,5.7,5.1
female,41,164,24.2,40.6,6.4,14.9,6,4.5
male,40,159,23.9,39.1,4.2,16,6.7,5
female,48,169,24.6,40.9,4.6,15,6.5,5.4
male,41,158,22.5,40.1,6.1,16.5,6.7,5.2
male,43,157,23.8,41.7,6,16,6.7,5.3
male,43,158,23.1,39.7,4.1,14.6,5.8,4.9
female,48,166,25.1,41.5,4.4,15.9,6.4,4.9
female,41,161,24.5,42,4.8,15.3,6.5,4.9
